卒業要件チェッカー サンプル成績データ
動作確認用の架空データです
実在する学生の成績ではありません
""
年度,学期,科目区分,科目コード,授業科目名,単位数,担当教員,標準履修年次,備考,評語
2025,前期,教養ゼミナール科目,SAMPLE0001,サンプル教養01_教養ゼミナール科目,1,サンプル教員,,,A
2025,前期,情報科学科目,SAMPLE0002,サンプル教養02_情報科学科目,2,サンプル教員,,,A
2025,前期,健康・スポーツ科学科目,SAMPLE0003,サンプル教養03_健康科学,1,サンプル教員,,,A
2025,前期,地域科学科目,SAMPLE0004,サンプル教養04_長崎地域学,1,サンプル教員,,,A
2025,前期,健康・スポーツ科学科目,SAMPLE0005,サンプル教養05_スポーツ演習_追加,1,サンプル教員,,,A
2025,前期,英語,SAMPLE0006,サンプル教養06_英語,6,サンプル教員,,,A
2025,前期,初習外国語,SAMPLE0007,サンプル教養07_初習外国語,4,サンプル教員,,,A
2025,前期,全学モジュールⅠ科目,SAMPLE0008,サンプル教養08_全学モジュールⅠ科目,6,サンプル教員,,,A
2025,前期,全学モジュールⅡ科目,SAMPLE0009,サンプル教養09_全学モジュールⅡ科目,6,サンプル教員,,,A
2025,前期,学部モジュール科目,SAMPLE0010,サンプル教養10_学部モジュール科目,10,サンプル教員,,,A
2025,前期,自由選択科目,SAMPLE0011,サンプル教養11_自由選択科目,2,サンプル教員,,,A
2025,前期,情報学基盤科目,SAMPLE0012,数理・データサイエンス,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0013,確率・統計,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0014,コンピュータ入門,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0015,プログラミング概論,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0016,プログラミング演習Ⅰ,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0017,プログラミング演習Ⅱ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0018,情報科学技術,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0019,情報基礎数学,1,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0020,情報ネットワークⅠ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0021,オートマトンと言語理論,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0022,情報セキュリティⅠ,1,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0023,オペレーティングシステムⅠ,1,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0024,オペレーティングシステムⅡ,1,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0025,工学倫理,2,サンプル教員,2,,A
2025,前期,コミュニケーション,SAMPLE0026,安全工学,1,サンプル教員,2,,A
2025,前期,コミュニケーション,SAMPLE0027,技術英語Ⅰ,1,サンプル教員,2,,A
2025,前期,コミュニケーション,SAMPLE0028,実社会課題解決プロジェクトA,1,サンプル教員,1,,A
2025,前期,コミュニケーション,SAMPLE0029,実社会課題解決プロジェクトB,1,サンプル教員,2,,A
2025,前期,情報セキュリティ系科目,SAMPLE0030,情報数学Ⅰ,1,サンプル教員,2,,A
2025,前期,情報セキュリティ系科目,SAMPLE0031,情報数学Ⅱ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0032,論理回路,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0033,ソフトウェア工学,2,サンプル教員,3,,A
2025,前期,インフォメーションサイエンス,SAMPLE0034,データベース,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0035,コンピュータアーキテクチャⅠ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0036,ディジタル信号処理Ⅰ,2,サンプル教員,2,,A
