卒業要件チェッカー サンプル成績データ
動作確認用の架空データです
実在する学生の成績ではありません
""
年度,学期,科目区分,科目コード,授業科目名,単位数,担当教員,標準履修年次,備考,評語
2025,前期,教養ゼミナール科目,SAMPLE0001,サンプル教養01_教養ゼミナール科目,1,サンプル教員,,,A
2025,前期,情報科学科目,SAMPLE0002,サンプル教養02_情報科学科目,2,サンプル教員,,,A
2025,前期,数理・データサイエンス科目,SAMPLE0003,サンプル教養03_数理・データサイエンス科目,2,サンプル教員,,,A
2025,前期,健康・スポーツ科学科目,SAMPLE0004,サンプル教養04_健康・スポーツ科学科目,1,サンプル教員,,,A
2025,前期,キャリア教育科目,SAMPLE0005,サンプル教養05_キャリア教育科目,1,サンプル教員,,,A
2025,前期,プラネタリーヘルス科目,SAMPLE0006,サンプル教養06_プラネタリーヘルス科目,1,サンプル教員,,,A
2025,前期,英語,SAMPLE0007,サンプル教養07_英語,6,サンプル教員,,,A
2025,前期,初習外国語,SAMPLE0008,サンプル教養08_初習外国語,2,サンプル教員,,,A
2025,前期,教養モジュールⅠ科目,SAMPLE0009,サンプル教養09_教養モジュールⅠ科目,4,サンプル教員,,,A
2025,前期,教養モジュールⅡ科目,SAMPLE0010,サンプル教養10_教養モジュールⅡ科目,4,サンプル教員,,,A
2025,前期,人文・社会科学科目,SAMPLE0011,サンプル教養11_人文・社会科学科目,2,サンプル教員,,,A
2025,前期,生命・自然科学科目,SAMPLE0012,サンプル教養12_生命・自然科学科目,2,サンプル教員,,,A
2025,前期,人文・社会科学科目,SAMPLE0013,サンプル教養13_人文・社会科学科目_追加,2,サンプル教員,,,A
2025,前期,情報学基盤科目,SAMPLE0014,数理・データサイエンス,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0015,確率・統計,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0016,大学数学入門,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0017,微分積分学Ⅰ,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0018,微分積分学Ⅱ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0019,線形代数学Ⅰ,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0020,線形代数学Ⅱ,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0021,コンピュータ入門,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0022,プログラミング概論,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0023,プログラミング演習Ⅰ,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0024,プログラミング演習Ⅱ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0025,情報科学技術,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0026,情報基礎数学,1,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0027,情報ネットワークⅠ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0028,オートマトンと言語理論,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0029,情報セキュリティⅠ,1,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0030,オペレーティングシステムⅠ,1,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0031,オペレーティングシステムⅡ,1,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0032,科学者倫理,2,サンプル教員,2,,A
2025,前期,コミュニケーション,SAMPLE0033,技術英語Ⅰ,1,サンプル教員,2,,A
2025,前期,コミュニケーション,SAMPLE0034,実社会課題解決プロジェクトA,2,サンプル教員,1,,A
2025,前期,コミュニケーション,SAMPLE0035,実社会課題解決プロジェクトB,2,サンプル教員,2,,A
